index-of-output:	2	actual-response:	I'm not sure if I	number-of-repeats:	4
index-of-output:	4	actual-response:	The first thing I	number-of-repeats:	5
index-of-output:	11	actual-response:	The first thing to	number-of-repeats:	3
index-of-output:	13	actual-response:	I'm not going to be able	number-of-repeats:	2
index-of-output:	14	actual-response:	The first thing I noticed was	number-of-repeats:	2
index-of-output:	15	actual-response:	I'm not sure what	number-of-repeats:	3
index-of-output:	17	actual-response:	1 in the country, and the No	number-of-repeats:	7
index-of-output:	19	actual-response:	I'm	number-of-repeats:	15
index-of-output:	20	actual-response:	it's not just the government that's worried	number-of-repeats:	2
index-of-output:	22	actual-response:	I'm not going to do	number-of-repeats:	2
index-of-output:	24	actual-response:	I was a little bit surprised.	number-of-repeats:	2
index-of-output:	31	actual-response:	I'm a big fan of the game	number-of-repeats:	2
index-of-output:	38	actual-response:	The first thing you need	number-of-repeats:	4
index-of-output:	41	actual-response:	You're sweet. You're	number-of-repeats:	2
index-of-output:	45	actual-response:	The answer is, of course	number-of-repeats:	2
index-of-output:	52	actual-response:	I'm not sure if you	number-of-repeats:	4
index-of-output:	53	actual-response:	"	number-of-repeats:	5
index-of-output:	58	actual-response:	The answer is that the government	number-of-repeats:	5
index-of-output:	61	actual-response:	"I'm not going	number-of-repeats:	5
index-of-output:	62	actual-response:	. I	number-of-repeats:	2
index-of-output:	63	actual-response:	I'm not going to let	number-of-repeats:	4
index-of-output:	68	actual-response:	The answer	number-of-repeats:	4
index-of-output:	73	actual-response:	I'm not going to	number-of-repeats:	7
index-of-output:	82	actual-response:	I'm not sure. I	number-of-repeats:	5
index-of-output:	83	actual-response:	"I don	number-of-repeats:	2
index-of-output:	93	actual-response:	The first thing I noticed	number-of-repeats:	7
index-of-output:	97	actual-response:	"I'm not sure if	number-of-repeats:	2
index-of-output:	101	actual-response:	The answer is yes.	number-of-repeats:	2
index-of-output:	105	actual-response:	I'm not going to do that!	number-of-repeats:	2
index-of-output:	106	actual-response:	You're not going to tell me what	number-of-repeats:	9
index-of-output:	108	actual-response:	I'm going to be	number-of-repeats:	4
index-of-output:	112	actual-response:	but I'm	number-of-repeats:	2
index-of-output:	114	actual-response:	You're	number-of-repeats:	2
index-of-output:	120	actual-response:	I	number-of-repeats:	7
index-of-output:	123	actual-response:	"I'm sorry,	number-of-repeats:	3
index-of-output:	136	actual-response:	I'm sorry.	number-of-repeats:	3
index-of-output:	137	actual-response:	me, but I	number-of-repeats:	2
index-of-output:	138	actual-response:	I'm sorry,	number-of-repeats:	2
index-of-output:	142	actual-response:	I'm not	number-of-repeats:	19
index-of-output:	152	actual-response:	You're a	number-of-repeats:	3
index-of-output:	153	actual-response:	[Image via	number-of-repeats:	2
index-of-output:	159	actual-response:	The only thing that's	number-of-repeats:	2
index-of-output:	163	actual-response:	I'm not sure what to	number-of-repeats:	2
index-of-output:	165	actual-response:	He's	number-of-repeats:	2
index-of-output:	176	actual-response:	It's just a	number-of-repeats:	2
index-of-output:	177	actual-response:	I'm so sorry. I	number-of-repeats:	2
index-of-output:	181	actual-response:	The	number-of-repeats:	6
index-of-output:	184	actual-response:	I'm sorry. I'm	number-of-repeats:	3
index-of-output:	191	actual-response:	I'm not going	number-of-repeats:	3
index-of-output:	192	actual-response:	"I	number-of-repeats:	11
index-of-output:	193	actual-response:	"I'm not	number-of-repeats:	6
index-of-output:	197	actual-response:		number-of-repeats:	13
index-of-output:	208	actual-response:	I'm going to go get some coffee	number-of-repeats:	2
index-of-output:	219	actual-response:	I don't	number-of-repeats:	3
index-of-output:	223	actual-response:	. I'm not	number-of-repeats:	2
index-of-output:	248	actual-response:	The answer is that the	number-of-repeats:	3
index-of-output:	249	actual-response:	The first	number-of-repeats:	5
index-of-output:	252	actual-response:	I'm sorry, I	number-of-repeats:	3
index-of-output:	256	actual-response:	I don	number-of-repeats:	3
index-of-output:	260	actual-response:	I'm not sure if I'm going	number-of-repeats:	9
index-of-output:	264	actual-response:	You're not going to get	number-of-repeats:	2
index-of-output:	281	actual-response:	"I'm going	number-of-repeats:	2
index-of-output:	291	actual-response:	that? Because I'm	number-of-repeats:	2
index-of-output:	304	actual-response:	The answer is that you	number-of-repeats:	2
index-of-output:	305	actual-response:	I was	number-of-repeats:	4
index-of-output:	307	actual-response:	The first thing	number-of-repeats:	5
index-of-output:	316	actual-response:	I'm going to	number-of-repeats:	3
index-of-output:	319	actual-response:	"I'm sorry	number-of-repeats:	4
index-of-output:	354	actual-response:	We	number-of-repeats:	2
index-of-output:	365	actual-response:	"I'm	number-of-repeats:	6
index-of-output:	381	actual-response:	You're not going to let	number-of-repeats:	2
index-of-output:	400	actual-response:	I'm not sure what you mean by	number-of-repeats:	2
index-of-output:	436	actual-response:	The first thing you	number-of-repeats:	3
index-of-output:	440	actual-response:	The first thing you need to	number-of-repeats:	3
index-of-output:	473	actual-response:	I'm not sure	number-of-repeats:	4
index-of-output:	505	actual-response:	I know. I know. I	number-of-repeats:	3
index-of-output:	574	actual-response:	I'm sorry	number-of-repeats:	6
index-of-output:	604	actual-response:	I think it's a	number-of-repeats:	2
index-of-output:	715	actual-response:	The Bible is the word of	number-of-repeats:	2
index-of-output:	728	actual-response:	I'm not sure what to say.	number-of-repeats:	2
index-of-output:	752	actual-response:	I am not	number-of-repeats:	2
index-of-output:	838	actual-response:	be a good person,	number-of-repeats:	2
index-of-output:	851	actual-response:	sure that you're not	number-of-repeats:	2
index-of-output:	951	actual-response:	I'm not going to say	number-of-repeats:	2
