They do not!	The only thing that
They do to!	The first thing you
I hope so.	I hope so. I hope
She okay?	"I'm fine,"
Let's go.	"I'm going
Wow	, I'm so glad you're here.
Okay -- you're gonna need	to get a new
No	. 1)The first thing you
I'm kidding.	I'm not kidding. I
Like my fear of wearing	a dress, I was
The "real you".	The "real
What good stuff?	The first thing I
I figured you'd get to	the point where you
Thank God!	I'm not going to be in
Me.	"I'm not sure what
What crap?	I'm not sure what
do you listen to this	?""I
No.	1)The first thing you
Then Guillermo says, "If you	're
You always been this selfish?	I've
But	the most important thing is that we have to
Then that's all you had	to do.
Well, no.	I'm not going to do
You never wanted to go	to the hospital, you
I was?	I was a little bit
I looked for you back	in the day, and
Tons	of fun!I'm not
Have fun tonight?	I'm going to
I believe we share an	interest in the future of
You know Chastity?	She's a good
Looks like things worked out	for the best.
Hi.	I'm a little late to the party
Who knows?	Maybe the next time I'm in
So that's the kind of	thing that I think
Lesbian?	I'm not a lesbian
She's not a.	She's not a.
I'm workin' on it.	I'm
I really, really, really wanna	know what's
Sure have.	I'm not sure if
Eber's Deep Conditioner every two	weeks.
How do you get your	hands on a copy of
You're sweet.	I'm sorry I didn't
You have my word.	I will not let you
I counted on you to	be the one to save
You got something on your	face?""
Where?	The first thing you need to
There.	I'm done. I'm done.
Well, there's someone I think	you should meet
How is our little Find	lay Market going to be
Forget French.	Forget Italian. Forget Spanish.
That's because it's such a	big deal.
I don't want to know	what you're doing
Right.	I'm not sure what you
C'esc ma tete.	"
Let me see what I	can do."
Gosh, if only we could	have a little
That's a shame.	I'm sure you'll
Unsolved mystery.	The mystery of
Why?	Because it's a good thing.
Seems like she could get	a lot of mileage
The thing is, Cameron --	and I'm not
Cameron.	"I think it's
No, no, it's my fault	. I
Forget it.	I'm not going to be
You're asking me out.	I'm not going
Okay.	I'm going to go get my stuff
Not the hacking and gagging	of the press,
Well, I thought we'd start	with the basics
Can we make this quick?	I'm
I did.	I was a little bit nervous,
You think you ' re	You think you're going to be able to
I don't have to be	a genius to figure
I have to be home	by 6:30.
All I know is --	I'm not going to
Sometimes I wonder if the	people who are so upset
Bianca, I don't think the	world
Combination.	The first thing you need
Is he oily or dry?	He's
He practically proposed when he	was asked about the possibility
Would you mind getting me	a drink?"
Great	er than the sum of its parts" is
Joey.	"I'm not going
Who?	The first thing to note is
Where did he go?	"I don
You might wanna think about	that.I
No.	1)The first thing you
Did you change your hair?	I changed
You know the deal.	You're a good guy
Listen, I want to talk	about the future of
You're concentrating awfully hard considering	you're not even
Hi, Joey.	I'm here to talk to
Hey, sweet cheeks.	I'm sorry I'm
My agent says I've got	to go to the
Neat.	The first thing I noticed
It's a gay cruise line,	and it's
Queen Harry?	"I'm not sure
So yeah, I've got the	same problem.
Hopefully.	"I'm not sure if
Exactly  So, you going	to be a good
Expensive?	Yes. But it's worth it
It's more	than just a game. It's
Perm?	The first thing to note
Patrick -- is that- a.	k.a
It's just you.	You're the only one
Is that woman a complete	idiot?"
No!	I'm not going to do that!
What?	I'm not sure. I
I just wanted --	I just wanted to be able
You set me up.	I'm not going to
Let go!	Let go! Let go! Let
So did you	know that the first person to ever
You looked beautiful last night,	and I'm so
I guess I'll never know,	but I'm
Not all experiences are good,	and some are bad
God, you're just like him!	You're
I guess I thought I	was going to be able
I'm not stupid enough to	think that I can
That's not	to say that the game is perfect
No.	1)The first thing you
I wanted to let you	know that I am very
Why didn't you tell me?	I was so
After that, I swore I'd	never do it
But	the most important thing is that we have to
Just once.	"I'm not going
You did what?	"I'm sorry
He said everyone was doing	their best to help the
As in.	"I'm not sure
Now I do.	I'm not going to be
But you hate Joey	. You hate Joey. You
He was, like, a total	badass. He
Why?	Because it's a good thing.
In 9th.	century India, the word "
What?	I'm not sure. I
Joey never told you we	were going to do
I wish I had that	kind of money," he
I do care.	I do care about the people
Like you care.	I'm not sure
Listen, I know you hate	me, but I
You're welcome.	I'm not sure
I don't get you.	You're not a
I really don't think I	'm going to be
Bianca, I need to talk	to you
Can we go now?	"I'm
You are so completely unbalanced.	You are so
Yeah, he's your freak friend	. He's
It's Shakespeare.	It's Shakespeare. It's
Like I'm supposed to know	, the only way
At least I'm not a	racist.
Can't you forget for just	a moment that you
Bogey Lowenstein's party is normal,	but
What's normal?	What's abnormal? What's
You're ruining my life'	The woman
I think you're a freak.	You're a
What do you think?	Do you think
Oh, I thought you might	like to know that
It means that Gigglepuss is	a very
Oh my God, does this	guy have a penis
Can you at least start	with the basics?
I have the potential to	be a great player,
Nowhere.	The only thing that was
Where've you been?	I've been
I have a date, Daddy.	I'm going
I'm missing something.	I'm missing something."
Fine.	I'll just go to the bathroom and
You're not going unless your	team is going to
He's not a "hot rod".	He's
It's that hot rod Joey,	and he's
No, but	I'm not going to be a
The prom?	The prom is a big
Daddy, I want to discuss	something with you.
Because she'll scare them away.	"
Why?	Because it's a good thing.
Promise me you won't talk	about it."
Just for a minute	, let's pretend that the
Daddy, no!	I'm not going to let
Wear the belly before you	go to bed.
It's just a party.	It's not a
Oh, God.	I'm sorry. I'm
If Kat's not going, you're	going to
Daddy, people expect me to	be a good girl
It's just a party.	It's not a
Otherwise known as an orgy?	The
If you must know, we	are not a big
And where're you going?	I'm
Daddy, I --	I don't know what to
Exactly my point	.I'm not sure
But she doesn't want to	be a part of
But it's not fair --	it's not fair
Then neither will you.	The only way
What if she never starts	to feel better?
No!	I'm not going to do that!
Now don't get upset.	I'm not saying
Just sent 'em through.	I'm gonna go
Padua girls.	The girls were taken
Never	-Ending StoryThe first time
Fan of a fan.	I'm a
Didn't have you pegged for	a girl,
Always a pleasure, Brucie.	
Best case scenario, you're back	to square one
You humiliated the woman!	You humiliated the woman!"
No, I ' m not.	No, I'm not. I'm not
Buttholus extremus.	The
The hell is that?	"I'm
Extremely unfortunate maneuver.	The first thing
Hell, I've just been going	through a lot
You told me that part	of the reason you were
It's her favorite band.	She's a fan
Assail your ears for one	of the most memorable
Okay!	I'm ready to go!"
He's pretty!	He's pretty! He's
Dead at forty-one.	"I
Her favorite uncle	, who was a doctor, was
It's a lung cancer issue	," said Dr.
Number one.	I'm not going to be a
Are you kidding?	I'm not going to let
Will Bogey get bent?	The first
In that case, we'll need	to use the
This is it.	The last time I was here
Like we had a choice?	I don
You got him involved?	I don't
Hey -- I've gotta have	a drink."
I thought you hated those	things.""
You know, if you do	that, you're
That's what I just said	."
Did she actually say she'd	be there?
Forget his reputation.	He's a good guy
I'm serious, man, he's whacked.	He
They always let felons sit	in the front row
No kidding.	The first thing I noticed
He seems like he thrives	on the spotlight.
What makes you think he'll	be a good fit
You wanna go out with	me?""
What about him?	"I don't
Unlikely, but even so, she	was still
I teach her French, get	her a job,
The mewling, rampalian wretch herself.	
That's her?	"I'm not
Yeah, just a minor encounter	. I was just
You could consecrate with her,	but you'd
You mean I'd get a	free ride?"
Guess who just signed up	for the new season
Sure do .	Sure do...The first thing
