1	They do to!	I'm not sure	12
2	I hope so.	"I'm not	20
4	Let's go.	The first thing I	3
6	Okay -- you're gonna need	to get a new	2
14	Me.	"I'm not sure what	5
15	What crap?	I'm not sure what	3
17	No.	1: The first thing I want to	7
19	You always been this selfish?	I'm	13
20	But	the fact that the government is now trying to	2
22	Well, no.	I'm not going to be	5
31	Hi.	I'm a little bit of a fan	2
36	I'm workin' on it.		14
41	You're sweet.	You're so sweet. I	2
45	Where?	The first thing you need to	5
52	Right.	The first thing to do is	3
53	C'esc ma tete.	"	5
58	Why?	The answer is simple: the	6
64	You're asking me out.	I'm not going	5
68	Can we make this quick?	Yes,	2
73	All I know is --	I'm not going to	5
77	Is he oily or dry?	He's	3
81	Joey.	"I'm not going	9
82	Who?	The answer is: the people	4
93	Neat.	The first thing I noticed	5
101	Perm?	The first thing to note	2
105	No!	I'm not going to do that!	2
106	What?	I'm not sure what you	12
108	You set me up.	I'm going to be	2
112	I guess I'll never know,	but I'm	2
114	God, you're just like him!	You're	2
126	As in.	"I'm not sure	4
137	Listen, I know you hate	me, but I	2
138	You're welcome.	I'm sorry.	2
142	Can we go now?	I'm not	9
153	What do you think?	What do you	2
161	I have a date, Daddy.	I'm going	2
167	No, but	I'm not going to be able	2
174	Daddy, no!	I'm not going to let	3
176	It's just a party.	It's a party	2
184	Daddy, I --	I'm sorry. I'm	5
195	Fan of a fan.	I'm a	2
201	Buttholus extremus.	The	7
203	Extremely unfortunate maneuver.	"I'm	12
210	Dead at forty-one.	"I	20
215	Will Bogey get bent?	The answer	2
218	Like we had a choice?	I don	4
219	You got him involved?	I don't	4
232	What about him?	"I don't	2
248	Why not?	The answer is that the	2
257	Get out!	The first thing you need	2
260	Yeah.	I'm not sure. I think it	3
275	What'd you do to her?	I	7
276	Then, go get her	."I	2
291	And why would I do	that? I'm not	2
293	Your sister here?	I'm sorry,	2
304	Do what?	The answer is simple:	3
305	How'd you do it?	I was	3
307	It's about time.	The first thing	7
354	Okay, okay, we won't go.	We	2
369	Does it matter?	The answer is yes	2
381	What's this?	A new game?	2
400	Really?	I'm not sure what you mean.	2
414	Nothing!	I'm not going to lie	2
458	Maybe.	"I'm not sure,"	2
466	He left!	"I'm sorry,	2
470	Unwelcome?	The first thing to	2
472	Wholesome.	The first thing you	2
505	I know.	I'm not a fan of the	3
539	Depends on the topic.	If you	2
587	You decided.	You're not going to	2
602	Macbeth, right?	The first	3
691	Excellency, you are right.	I am	2
703	Indeed.	The first thing to note is	2
715	God.	"I'm not going to	2
728	Well.	I'm not going to say that I	2
740	Yes.	Q. And you're not	4
752	I am not listening, Father.	I am not	2
833	Colon!	The colon is the first	2
851	How can you be so	sure that the person you	2
951	Yeah, yeah.	I'm not going to say	2
961	Thirty-percent.	"I think it	2
