They do not!	They are not! They are
They do to!	I'm not sure
I hope so.	"I'm not
She okay?	"I'm fine,"
Let's go.	The first thing I
Wow	, I'm so glad you asked.
Okay -- you're gonna need	to get a new
No	. 1: The first thing I want to
I'm kidding.	I'm not. I'm
Like my fear of wearing	a dress, I'm
The "real you".	The "real
What good stuff?	The good stuff is
I figured you'd get to	see it.
Thank God!	I'm alive!""
Me.	"I'm not sure what
What crap?	I'm not sure what
do you listen to this	?""I
No.	1: The first thing I want to
Then Guillermo says, "If you	're
You always been this selfish?	I'm
But	the fact that the government is now trying to
Then that's all you had	to do.
Well, no.	I'm not going to be
You never wanted to go	to the movies, but
I was?	I was a little bit
I looked for you back	in the day. I
Tons	of people have been asking me to do
Have fun tonight?	-Bobby<|endoftext|>
I believe we share an	interest in the future of
You know Chastity?	She's a little
Looks like things worked out	for the best.
Hi.	I'm a little bit of a fan
Who knows?	Maybe the next time you're in
So that's the kind of	thing that's going
Lesbian?	Yes, I am a
She's not a.	She's not a.
I'm workin' on it.	
I really, really, really wanna	go to the
Sure have.	I'm not sure what
Eber's Deep Conditioner every two	weeks.
How do you get your	hands on a copy of
You're sweet.	You're so sweet. I
You have my word.	I will not
I counted on you to	be there for me.
You got something on your	mind?I
Where?	The first thing you need to
There.	I'm going to go get some food
Well, there's someone I think	I can trust
How is our little Find	My iPhone app different from
Forget French.	Forget Italian. Forget Spanish.
That's because it's such a	small number of
I don't want to know	what you're doing
Right.	The first thing to do is
C'esc ma tete.	"
Let me see what I	can do."
Gosh, if only we could	get a little
That's a shame.	I'm not sure I
Unsolved mystery.	The mystery of
Why?	The answer is simple: the
Seems like she could get	a lot more out
The thing is, Cameron --	and I'm not
Cameron.	"I think it's
No, no, it's my fault	. I
Forget it.	"I'm not
You're asking me out.	I'm not going
Okay.	I'm going to go back to the
Not the hacking and gagging	of journalists, but
Well, I thought we'd start	with the most
Can we make this quick?	Yes,
I did.	I was a little bit nervous.
You think you ' re	You think you're going to be able to
I don't have to be	a genius to figure
I have to be home	by 10:30.
All I know is --	I'm not going to
Sometimes I wonder if the	people who are so quick
Bianca, I don't think the	world
Combination.	The combination of the two
Is he oily or dry?	He's
He practically proposed when he	was a kid. He
Would you mind getting me	a drink?"
Great	er than the sum of its parts.
Joey.	"I'm not going
Who?	The answer is: the people
Where did he go?	"I don
You might wanna think about	that.I
No.	1: The first thing I want to
Did you change your hair?	I did
You know the deal.	You're going to be
Listen, I want to talk	about the most important
You're concentrating awfully hard considering	you're not even
Hi, Joey.	I'm sorry to hear that
Hey, sweet cheeks.	I'm sorry I'm
My agent says I've got	to get a new
Neat.	The first thing I noticed
It's a gay cruise line,	and they're
Queen Harry?	"I'm not Harry
So yeah, I've got the	same problem.
Hopefully.	"I'm not sure what
Exactly  So, you going	to do it?
Expensive?	The cost of the new
It's more	than just a game. It's
Perm?	The first thing to note
Patrick -- is that- a.	k.a
It's just you.	You're the only one
Is that woman a complete	idiot?I
No!	I'm not going to do that!
What?	I'm not sure what you
I just wanted --	I wanted to be able to
You set me up.	I'm going to be
Let go!	I'm going to go
So did you	know that the first time you saw
You looked beautiful last night,	didn't you?"
I guess I'll never know,	but I'm
Not all experiences are good,	and some are bad
God, you're just like him!	You're
I guess I thought I	was going to be a
I'm not stupid enough to	think that I can
That's not	to say that the game is perfect
No.	1: The first thing I want to
I wanted to let you	know that I'm not
Why didn't you tell me?	I thought you
After that, I swore I'd	never do it
But	the fact that the government is now trying to
Just once.	"I'm not going
You did what?	You did what?"
He said everyone was doing	their best to help the
As in.	"I'm not sure
Now I do.	I'm not going to be
But you hate Joey	. You hate Joey. You
He was, like, a total	jerk. He
Why?	The answer is simple: the
In 9th.	century, the city of Rome
What?	I'm not sure what you
Joey never told you we	were going to be
I wish I had that	kind of power."
I do care.	I care about the people who
Like you care.	I'm not sure
Listen, I know you hate	me, but I
You're welcome.	I'm sorry.
I don't get you.	I don't get
I really don't think I	'm going to be
Bianca, I need to talk	to you
Can we go now?	I'm not
You are so completely unbalanced.	You are so
Yeah, he's your freak friend	. He's
It's Shakespeare.	It's the best thing I
Like I'm supposed to know	, I'm not
At least I'm not a	robot.
Can't you forget for just	a moment that the
Bogey Lowenstein's party is normal,	but
What's normal?	The normal is that
You're ruining my life'	The woman
I think you're a freak.	I think you
What do you think?	What do you
Oh, I thought you might	be interested in this
It means that Gigglepuss is	a very
Oh my God, does this	mean that I'm
Can you at least start	with the basics?
I have the potential to	be a great player,
Nowhere.	"I'm not going
Where've you been?	I've been
I have a date, Daddy.	I'm going
I'm missing something.	I'm missing something.
Fine.	"I'm sorry, but
You're not going unless your	parents are there."
He's not a "hot rod".	He's
It's that hot rod Joey,	you know,
No, but	I'm not going to be able
The prom?	The prom?
Daddy, I want to discuss	this with you.
Because she'll scare them away.	"
Why?	The answer is simple: the
Promise me you won't talk	about it."
Just for a minute	, let's pretend that the
Daddy, no!	I'm not going to let
Wear the belly before you	walk.
It's just a party.	It's a party
Oh, God.	I'm so sorry. I
If Kat's not going, you're	going to
Daddy, people expect me to	be a good person
It's just a party.	It's a party
Otherwise known as an orgy?	A
If you must know, we	are not a charity
And where're you going?	I'm
Daddy, I --	I'm sorry. I'm
Exactly my point	. I'm not saying that the
But she doesn't want to	be a victim.
But it's not fair --	it's not fair
Then neither will you.	You will be
What if she never starts	?What if
No!	I'm not going to do that!
Now don't get upset.	I'm not going
Just sent 'em through.	I'm
Padua girls.	"I'm not
Never	-Ending StoryThe story of
Fan of a fan.	I'm a
Didn't have you pegged for	a big game
Always a pleasure, Brucie.	
Best case scenario, you're back	to square one
You humiliated the woman!	You humiliated her!"
No, I ' m not.	No, I'm not. I'm
Buttholus extremus.	The
The hell is that?	The hell is
Extremely unfortunate maneuver.	"I'm
Hell, I've just been going	through a lot
You told me that part	of the reason you wanted
It's her favorite band.	She's a huge
Assail your ears for one	minute.
Okay!	I'm going to go get some coffee
He's pretty!	He's pretty!"
Dead at forty-one.	"I
Her favorite uncle	, who was a doctor, was
It's a lung cancer issue	," said Dr.
Number one.	I'm not going to be a
Are you kidding?	I'm not going to be
Will Bogey get bent?	The answer
In that case, we'll need	to make sure
This is it.	The final chapter of the story
Like we had a choice?	I don
You got him involved?	I don't
Hey -- I've gotta have	a drink.
I thought you hated those	guys.""
You know, if you do	a lot of things
That's what I just said	. I'm not
Did she actually say she'd	be in the room
Forget his reputation.	Forget his name. Forget
I'm serious, man, he's whacked.	He
They always let felons sit	in jail for a
No kidding.	The first thing I noticed
He seems like he thrives	on the spotlight.
What makes you think he'll	be a good fit
You wanna go out with	me?I
What about him?	"I don't
Unlikely, but even so, she	was still
I teach her French, get	her to understand the
The mewling, rampalian wretch herself.	
That's her?	"I'm not
Yeah, just a minor encounter	with a few people
You could consecrate with her,	but you'd
You mean I'd get a	free pass to the
Guess who just signed up	for the new "
Sure do .	Sure do..."I'm
You know French?	I know French.
Joey Dorsey?	Dorsey
He always have that shit-eating	grin on his
Because they're bred to.	"I
Why do girls like that	?I think
I could start with your	first question. I'm
Why not?	The answer is that the
Bianca Stratford.	"I
Who is she?	She is a woman
You burn, you pine, you	cry, you
That girl -- I --	I don't know what
Yeah, but these guys have	been doing it for
That I'm used to.	I'm
Couple thousand.	"I'm not
How many people go here?	I don
Get out!	The first thing you need
Thirty-two.	"I'm not
How many people were in	the room?
Yeah.	I'm not sure. I think it
I was kidding.	I was just kidding. I
North, actually.	"I'm not
So -- which Dakota you	think is the best?
C'mon.	I'm not going to let
So they tell me.	"I'm
You the new guy?	I'm the
You get the girl.	You get the
What's the worst?	The worst thing
Where?	The first thing you need to
She kissed me.	I was so happy. I
You makin' any headway?	
She just needs time to	get her head together,"
She hates you with the	fire of a thousand sun
I don ' t know.	I don't know. I don't
What'd you do to her?	I
Then, go get her	."I
Sure	, it's a bit of a stretch to
Cameron -- do you like	the idea of a
She's partial to Joey, not	because she's
What 're you talking about?	What're you talking about?I
It's off.	"I'm not
Cameron, I'm a little busy	right now
Don't make me do it,	I'm not
Gigglepuss is playing there tomorrow	.
So what does that give	us?Well
Okay -- Likes:  Thai	, Chinese, Japanese
I've retrieved certain pieces of	information from the internet
What've you got for me?	I
Yeah -- we'll see.	Q:
And he means that strictly	speaking, the United States
And why would I do	that? I'm not
Leave my sister alone.	I don't want to
Your sister here?	I'm sorry,
Away.	"I'm not going
Where ya goin?	I'm gonna
Not at all	.The only thing that
Hey -- do you mind?	I'm just trying
They're running the rest of	the way.
Yeah, and I noticed the	same thing with the
The vintage look is over,	and the new look
Enough with the Barbie n'	Barbie stuff. I
I don't know, Dorsey.	I don
Get her to act like	a woman.
Do what?	The answer is simple:
How'd you do it?	I was
A deal's a deal.	The deal
It's about time.	The first thing
Forget her sister, then.	"
Forget it.	"I'm not
A hundred bucks a date.	"I
What?	I'm not sure what you
I just upped my price	to $1,
I got her under control.	I got her under
Watching the bitch trash my	car, I was
I'm on it	. I'm on it.
When I shell out fifty,	I'm not going
Fifty, and you've got your	own little
Take it or leave it.	"I
Fine, thirty.	"I'm sorry
I can't take a girl	home with me.
How much?	The price of a single
I can't date her sister	, but I can
You're gonna pay me to	do this, right
You got it, Verona.	You got it
But you'd go out with	a girl and you
You need money to take	care of your family.
You just said	you were going to be a good
Sure, Sparky.	You're a good man
Yeah, whatever.	I'm not going to be
Two legs, nice rack.	I'm
What do you think?	What do you
Yeah	, I'm not going to say that I
Hey -- it's all for	the good of the
You better not fuck this	up.""
What?	I'm not sure what you
You and Verona?	I'm not
Uh,  yeah.	I'm sorry. I
I hear you're helpin' Verona.	
So what you need to	do is to make sure
Does this conversation have a	happy ending?
But she can't go out	and buy a new
We're not.	We're not going to be
Well, actually, I thought I'd	be able
We don't chat.	We don't talk.
Nope - just came by	to say hi.
Are you lost?	I'm lost.
Hey.	I'm not going to be able to
Oh, honey -- tell me	what you want to
William - he asked me	to come to his house
Who?	The answer is: the people
Have you seen him?	I have seen
Oh, good.	I'm glad you're here
You ' re looking at	You're looking at the same thing. I
Okay, okay, we won't go.	We
Listen to you!	I'm not going
Well, I guess we're not,	but we
Can you even imagine?	I can't
I got drunk.	I got drunk and I got
You didn't	have to be a genius to figure
I did Bianca a favor	and I'm going
You didn't have a choice?	I
I didn't have a choice.	I had to
You went to the party?	I went
Who cares?	The only thing that matters
What'd he say?	"I'm
No fear.	I'm not going to let you
You think this'll work?	I think
If I was Bianca, it	would be a
Does it matter?	The answer is yes
I appreciate your efforts toward	the goal of a more
Neither has his heterosexuality.	"I
That's never been proven	."I
William didn't even go to	the hospital. He
William would never have gone	to the trouble of writing
So he has this huge	, huge, huge,
You could always go with	the "I'm not
The people at this school	are the best. They
But imagine the things he'd	say if he were
I realize that the men	in my life are not
An attempted slit.	The man was shot
What's this?	A new game?
Just a little.	"I'm not
Mandella, eat.	The first thing
Block E?	The answer is yes.
He always look so	happy and happy to be here
I'm sure he's completely incapable	of doing that
That's Pat Verona?	Pat Ver
Patrick Verona   Random	House, Nov 1
Who's that?	"I'm the
Don ' t you even	Don't you even think about it?
Oh, Bianca?	I'm sorry, I
Because I like to torture	myself, I'm going
Why is my veggie burger	so good?
Yeah, but then I fucked	up. I fucked
Is that right?	I'm not sure
Besides, I had some extra	time to work on
I thought you could use	a little help."
A Fender Strat.	The Stratoc
I didn't care about the	money. I just
Really?	I'm not sure what you mean.
It wasn't like that.	I was just a
You were paid to take	a picture of the president
Wait I.	I'm not sure I can do
It gets worse -- you	can't even get a
That ' s completely adorable!	That's completely adorable!I'm
That's where I was last	night. I was
What?	I'm not sure what you
My grandmother's .	My grandmother's.45-caliber pistol was a
Look, I'm  -- sorry	, I'm
Oh huh	, I see. So you're saying
It's just something I had.	I don't
It's Scurvy's.	"
How'd you get a tux	edo?"
Nothing!	I'm not going to lie
Answer the question, Patrick	, and you'll get
You need therapy.	You need to be
You tell me.	I'm not sure
So I have to have	a little bit of a
Create a little drama?	The first thing
Because I don't want to.	I don't
Why not?	The answer is that the
No, I won't go with	you. I
No what?	I'm not sure what
No.	1: The first thing I want to
You know what I mean	? I'm not going
Is that a request or	a request for a response
Go to the prom with	your best friend.
You're amazingly self-assured.	You're
No one else knows	what happened to the girl.
What?	I'm not sure what you
You're sweet.	You're so sweet. I
No -- something real.	"I'm
I hate peas.	I hate peas. I hate
Tell me something true.	What is the most important
I know the porn career's	not for everyone,
Hearsay.	"I don't
The duck?	The duck is a very
Fallacy.	The fallacy of the argument
State trooper?	The trooper was identified as
For.	The first thing you need to
You up for it?	I'm up
You never disappointed me.	I was always there for
How?	The answer is simple: the
Then you screwed up	.You're not
Something like that	."I'm not
So if you disappoint them	, they'll be disappointed
I don't like to do	that. I don
Yes	, I'm a little bit of a fan
Acting the way we do.	We
So what's your excuse?	"I
Yeah, well, don't let it	get to
A soft side?	The soft side of
I dazzled him with my	beauty, and he
So how'd you get Chapin	's name?
Good call.	The first thing I noticed
I figured it had to	be a joke. I
The Partridge Family?	The Partridge
Maybe.	"I'm not sure,"
You want me to climb	up on the roof and
Forget it.	"I'm not
Put your right foot there	, and then your left
Try lookin' at it from	the other side
C'mon.	I'm not going to let
I guess I never told	you that I was a
Look up, sunshine	, and you'll see that
He left!	"I'm sorry,
Other than my upchuck reflex?	
So what did I have	to do to get my
Don't for one minute think	that the people who
Unwelcome?	The first thing to
Unwelcome.	"I'm not
Wholesome.	The first thing you
Pleasant?	I'm not sure
You 're so --	You're so -- you're so -- you
I heard there was a	lot of talk about the
What are you doing here?	I'm
Excuse me, have you seen	the new movie
No offense, but you're sister	is a bitch
BIANCA	, CA - JANUARY
Who?	The answer is: the people
