They do not!	They are not! They are
They do to!	They do to!"
I hope so.	I'm not sure if I
She okay?	I'm fine.
Let's go.	The first thing I
Wow	, I'm sorry, I'm sorry.
Okay -- you're gonna need	to get out of
No	. 1 in the country, and the No
I'm kidding.	I'm kidding. I'm
Like my fear of wearing	a mask, I'm
The "real you".	The "real
What good stuff?	The first thing to
I figured you'd get to	know me better."
Thank God!	I'm not going to be able
Me.	The first thing I noticed was
What crap?	I'm not sure what
do you listen to this	?I don
No.	1 in the country, and the No
Then Guillermo says, "If you	're
You always been this selfish?	I'm
But	it's not just the government that's worried
Then that's all you had	to do. You
Well, no.	I'm not going to do
You never wanted to go	to the movies, but
I was?	I was a little bit surprised.
I looked for you back	in the day, and
Tons	of people have been asking me about this
Have fun tonight?	I'm sure you
I believe we share an	understanding of the importance of
You know Chastity?	She's a good
Looks like things worked out	for the best.
Hi.	I'm a big fan of the game
Who knows?	Maybe it's just me.
So that's the kind of	thing that I'm
Lesbian?	Yes.What
She's not a.	She's not a.
I'm workin' on it.	I'm
I really, really, really wanna	be a part
Sure have.	The first thing you need
Eber's Deep Conditioner every two	weeks.
How do you get your	hands on a new car
You're sweet.	You're sweet. You're
You have my word.	I will not let you
I counted on you to	be the one to make
You got something on your	head?I
Where?	The answer is, of course
There.	I'm done. I'm done.
Well, there's someone I think	I can trust
How is our little Find	ers Keepers?
Forget French.	The French are the
That's because it's such a	big deal to
I don't want to know	what you're doing
Right.	I'm not sure if you
C'esc ma tete.	"
Let me see what I	can do."
Gosh, if only we could	get a little
That's a shame.	I'm sure they'll
Unsolved mystery.	The mystery is
Why?	The answer is that the government
Seems like she could get	away with it.
The thing is, Cameron --	and I'm not
Cameron.	"I'm not going
No, no, it's my fault	. I
Forget it.	I'm not going to let
You're asking me out.	I'm not asking
Okay.	So, I'm going to go back
Not the hacking and gagging	that we've seen
Well, I thought we'd start	with the basics
Can we make this quick?	The answer
I did.	I was a little bit surprised.
You think you ' re	You think you're going to get a job
I don't have to be	a doctor to know
I have to be home	for the holidays. I
All I know is --	I'm not going to
Sometimes I wonder if the	people who are doing this
Bianca, I don't think the	game
Combination.	The following table lists the
Is he oily or dry?	The answer
He practically proposed when he	was in the hospital that
Would you mind getting me	a cup of coffee?"
Great	er than the sum of its parts, and
Joey.	"I'm not going
Who?	I'm not sure. I
Where did he go?	"I don
You might wanna think about	the fact that the game
No.	1 in the country, and the No
Did you change your hair?	I've
You know the deal.	You're going to be
Listen, I want to talk	to you about something
You're concentrating awfully hard considering	you're not even
Hi, Joey.	I'm sorry I didn't
Hey, sweet cheeks.	I'm not going to
My agent says I've got	to go to the
Neat.	The first thing I noticed
It's a gay cruise line,	and they're
Queen Harry?	"I'm not sure
So yeah, I've got the	same problem.
Hopefully.	"I'm not sure if
Exactly  So, you going	to be able to
