2	I hope so.	I'm not	15
14	Me.	I am a	5
15	What crap?	I don't	43
17	No.	No.	9
19	You always been this selfish?	No, I	13
27	Have fun tonight?	I'm going	10
31	Hi.	Hi!	2
34	Lesbian?	There is no	9
38	Sure have.	Yes, I	17
41	You're sweet.	Thank you.	5
45	Where?	The restaurant is	2
56	That's a shame.	It's a	2
58	Why?	There are many	11
68	Can we make this quick?	Yes, we	2
82	Who?	Who is the	4
88	Listen, I want to talk	to you about something	2
103	It's just you.	It's just	4
105	No!	No, you	2
106	What?	The term "	9
135	I do care.	I care about	2
138	You're welcome.		2
151	You're ruining my life'	This phrase is	3
153	What do you think?	I think that	4
161	I have a date, Daddy.	I'm so	2
177	Oh, God.	I'm sorry	14
185	Exactly my point	.I don	3
187	But it's not fair --	It's not	4
199	You humiliated the woman!	This is not	4
200	No, I ' m not.	Yes, you	4
202	The hell is that?	That is a	2
203	Extremely unfortunate maneuver.	This is an	2
213	Number one.	1. The	2
218	Like we had a choice?	We don't	3
228	No kidding.	I was just	2
231	You wanna go out with	me?""	2
241	Sure do .	Yes, absolutely	2
249	Bianca Stratford.	Bianca	2
264	C'mon.	What?	2
277	Sure	Yes	2
291	And why would I do	that?There	2
297	Hey -- do you mind?	No, not	3
304	Do what?	What do you	3
310	A hundred bucks a date.	That's a	2
321	How much?	I can't	3
347	Hey.	Hey.	3
365	What'd he say?	"I don	2
381	What's this?	This is a	8
395	Is that right?	Yes, that	2
400	Really?	Yes, it	2
458	Maybe.	Maybe.	2
483	I'm gettin' there	I'm getting	2
505	I know.	I'm sorry."	4
593	Tempestuous?	Yes, the	2
611	You were right.	I was right	2
687	Trade, Your Excellency.	I am not	6
704	He is a mercenary!	No, he	2
722	Thank God.	I am grateful	2
727	Are we going to argue?	No, we	2
767	What do you see?	I see a	2
833	Colon!	Your colon is	2
845	Father Marchena!	Hello, my	2
851	How can you be so	sure?I	2
