They do not!	The only way to
They do to!	The first thing you
I hope so.	I'm not sure
She okay?	I'm fine. I'm fine
Let's go.	I'm going to
Wow	, I'm not sure if I'm going
Okay -- you're gonna need	to get your hands
No	. 1,000,000,000,
I'm kidding.	I'm not going to tell
Like my fear of wearing	a hat, I'm
The "real you".	The "real
What good stuff?	The best thing about
I figured you'd get to	see it.
Thank God!	I'm so glad I
Me.	I'm not sure if you
What crap?	I'm not sure what
do you listen to this	?""I
No.	1,000,000,000,
Then Guillermo says, "If you	're
You always been this selfish?	I'm
But	the most important thing is that you don't
Then that's all you had	to do.
Well, no.	I'm not going to tell
You never wanted to go	to the gym. I
I was?	"I'm not sure
I looked for you back	in the day. I
Tons	of new features and improvements to the game
Have fun tonight?	I'm going to
I believe we share an	interest in the future of
You know Chastity?	She's a very
Looks like things worked out	for us. We're
Hi.	I'm sorry, but I'm not
Who knows?	I'm not sure if I'm
So that's the kind of	thing that's going
Lesbian?	Yes, I'm bisexual
She's not a.	I'm not a.
I'm workin' on it.	I'm
I really, really, really wanna	see this.
Sure have.	The problem is that the
Eber's Deep Conditioner every two	weeks.
How do you get your	hands on a copy of
You're sweet.	I'm not going to lie
You have my word.	I will not be silenced
I counted on you to	help me out. I
You got something on your	mind?""
Where?	The first thing you need to
There.	The first thing I noticed was
Well, there's someone I think	I can help
How is our little Find	er's Tool?
Forget French.	The French are the
That's because it's such a	big deal.
I don't want to know	what you're doing
Right.	I'm not sure if you
C'esc ma tete.	"
Let me see what I	can do to help you
Gosh, if only we could	get a little
That's a shame.	I'm not sure if
Unsolved mystery.	The story of
Why?	The answer is that the answer
Seems like she could get	away with it.
The thing is, Cameron --	who has been a
Cameron.	"I'm not going
No, no, it's my fault	. I
Forget it.	The first thing you
You're asking me out.	I'm not going
Okay.	I'm not sure if you
Not the hacking and gagging	that has been reported
Well, I thought we'd start	with the first
Can we make this quick?	We're
I did.	I was a little bit nervous.
You think you ' re	You think you're a good guy? I
I don't have to be	a doctor to know
I have to be home	for a while. I
All I know is --	I'm not going to
Sometimes I wonder if the	people who are going to
Bianca, I don't think the	whole
Combination.	The first thing you need
Is he oily or dry?	I'm
He practically proposed when he	was a kid that he
Would you mind getting me	a drink?"
Great	, but not as good as the other ones
Joey.	"I'm not going
Who?	The first thing you need to
Where did he go?	"I went
You might wanna think about	it, but I'm
No.	1,000,000,000,
Did you change your hair?	I did
You know the deal.	I'm going to be
Listen, I want to talk	about the new album
You're concentrating awfully hard considering	how much you're
Hi, Joey.	I'm sorry. I'm
Hey, sweet cheeks.	I'm not going to
My agent says I've got	a lot of work
Neat.	The first thing I noticed
It's a gay cruise line,	and it's
Queen Harry?	Harry Potter: I'm
So yeah, I've got the	same problem.
Hopefully.	The first thing I noticed was
Exactly  So, you going	to be able to
Expensive?	The most common reason for
It's more	than just a game. It's
Perm?	The answer is yes.
Patrick -- is that- a.	k.a
It's just you.	You're not going to
Is that woman a complete	stranger?I
No!	I'm not going to tell you what
What?	The first thing you need to
I just wanted --	I just wanted to be able
You set me up.	I'm going to do
Let go!	I'm not sure if
So did you	know that the first time you saw
You looked beautiful last night,	and I'm so
I guess I'll never know,	but I'm
Not all experiences are good,	but they are all
God, you're just like him!	
I guess I thought I	was going to be a
I'm not stupid enough to	think that I'm
That's not	a good thing."
No.	1,000,000,000,
I wanted to let you	know that I am not
Why didn't you tell me?	I
After that, I swore I'd	never do it
But	the most important thing is that you don't
Just once.	"I'm not going
You did what?	I'm not sure
He said everyone was doing	their best to keep the
As in.	The first thing to note
Now I do.	I'm not going to lie
But you hate Joey	. You hate him. You
He was, like, a total	idiot. He
Why?	The answer is that the answer
In 9th.	The first of the
What?	The first thing you need to
Joey never told you we	were going to be
I wish I had that	much more time to do
I do care.	I'm not going to let
Like you care.	I'm not going
Listen, I know you hate	me. I know
You're welcome.	I'm sorry,
I don't get you.	I don't get
I really don't think I	'm going to be
Bianca, I need to talk	to you
Can we go now?	The answer is
You are so completely unbalanced.	You are so
Yeah, he's your freak friend	. He's
It's Shakespeare.	It's Shakespeare. It's
Like I'm supposed to know	what's going on
At least I'm not a	bad person. I
Can't you forget for just	a moment that you
Bogey Lowenstein's party is normal,	but
What's normal?	"I'm not
You're ruining my life'	"I
I think you're a freak.	I'm not
What do you think?	The answer is
Oh, I thought you might	like to see the
It means that Gigglepuss is	a great
Oh my God, does this	guy have a girlfriend
Can you at least start	with a few basic things
I have the potential to	be a great player for
Nowhere.	The first thing I noticed
Where've you been?	I've been
I have a date, Daddy.	I'm going
I'm missing something.	I'm missing something.
Fine.	"I'm not going to
You're not going unless your	opponent has a lot
He's not a "hot rod".	He's
It's that hot rod Joey,	you know?
No, but	I'm not sure I'm going
The prom?	The prom is a great
Daddy, I want to discuss	the fact that I
Because she'll scare them away.	"
Why?	The answer is that the answer
Promise me you won't talk	to me again
Just for a minute	, I thought I'd just
Daddy, no!	I'm not going to let
Wear the belly before you	go.
It's just a party.	It's not a
Oh, God.	I'm sorry. I'm
If Kat's not going, you're	going to
Daddy, people expect me to	be a good person
It's just a party.	It's not a
Otherwise known as an orgy?	The
If you must know, we	are not a medical
And where're you going?	I'm
Daddy, I --	I'm not going to tell
Exactly my point	.I'm not saying
But she doesn't want to	be seen as a
But it's not fair --	it's not fair
Then neither will you.	The only way
What if she never starts	a new game?
No!	I'm not going to tell you what
Now don't get upset.	It's just a
Just sent 'em through.	I'm
Padua girls.	"I'm not
Never	, ever, ever, ever, ever,
Fan of a fan.	The first thing
Didn't have you pegged for	the job,
Always a pleasure, Brucie.	
Best case scenario, you're back	to the same
You humiliated the woman!	"I'm
No, I ' m not.	No, I'm not. I'm
Buttholus extremus.	The
The hell is that?	I'm not
Extremely unfortunate maneuver.	The first thing
Hell, I've just been going	through a lot
You told me that part	of the problem is that
It's her favorite band.	She's a big
Assail your ears for one	more time.
Okay!	I'm going to start with
He's pretty!	I'm so glad I did
Dead at forty-one.	"I
Her favorite uncle	was a man named John. He
It's a lung cancer issue	. It's a
Number one.	The first thing to do
Are you kidding?	I'm not even going to
Will Bogey get bent?	The answer
In that case, we'll need	to find a
This is it.	I'm not sure
Like we had a choice?	We could have just
You got him involved?	I don't
Hey -- I've gotta have	a good time."
I thought you hated those	guys. I thought you
You know, if you do	something, you're
That's what I just said	. I'm not
Did she actually say she'd	be happy to have
Forget his reputation.	"I'm
I'm serious, man, he's whacked.	I
They always let felons sit	in jail for a
No kidding.	I'm not sure if
He seems like he thrives	on the pressure of
What makes you think he'll	be able to do
You wanna go out with	me?""
What about him?	"I'm not
Unlikely, but even so, she	was still
I teach her French, get	her to read,
The mewling, rampalian wretch herself.	
That's her?	"I'm not
Yeah, just a minor encounter	. I'm not
You could consecrate with her,	and she would
You mean I'd get a	job with a company
Guess who just signed up	for the new season
Sure do .	Sure do........
You know French?	I'm French. I'm
Joey Dorsey?	I'm not
He always have that shit-eating	grin on his
Because they're bred to.	"They
Why do girls like that	?""I
I could start with your	question about the fact that
Why not?	The problem is that the
Bianca Stratford.	The first
Who is she?	She is a woman
You burn, you pine, you	burn, you
That girl -- I --	I'm not going to
Yeah, but these guys have	been doing it for
That I'm used to.	I'm used to
Couple thousand.	The first thing I
How many people go here?	The answer
Get out!	The first thing you'll
Thirty-two.	The first was a
How many people were in	the room at the time
Yeah.	I'm not going to lie. I
I was kidding.	I was just trying to get
