They do not!	The only thing
They do to!	I’
I hope so.	I'm not sure what
She okay?	I mean, she's
Let's go.	I'll take you to
Wow	, I'm so glad
Okay -- you're gonna need	to get a new one
No	, I don't think
I'm kidding.	I'm not going to
Like my fear of wearing	a bra, I have
The "real you".	I have been
What good stuff?	I’
I figured you'd get to	it eventually." "I
Thank God!	I'm glad you're
Me.	I’
What crap?	I'm not a fan
do you listen to this	shit?" "I'm
No.	1: The best player
Then Guillermo says, "If you	're going to be a
You always been this selfish?	I’
But	the most important thing is
Then that's all you had	to do." "You
Well, no.	I don't think so
You never wanted to go	to the movies with me
I was?	I was just trying to
I looked for you back	at the house." "
Tons	of new features and improvements
Have fun tonight?	I'm going
I believe we share an	interest in the subject of
You know Chastity?	She's the one who
Looks like things worked out	for the best. I
Hi.	I'm new to the
Who knows?	I’
So that's the kind of	thing that I'm looking
Lesbian?	Gay? Bisexual?
She's not a.	..."
I'm workin' on it.	I'm workin'
I really, really, really wanna	see this movie. I
Sure have.	I've been to the
Eber's Deep Conditioner every two	weeks. I have been
How do you get your	kids to eat their vegetables
You're sweet.	I'm not."
You have my word.	I will not let you
I counted on you to	be the one to tell
You got something on your	mind?" "I'm
Where?	is
There.	I've got it."
Well, there's someone I think	you should meet." "
How is our little Find	lay girl doing?" "
Forget French.	Forget English. Forget German
That's because it's such a	great idea.
I don't want to know	." "I don't
Right.	I'm not
C'esc ma tete.	_C'
Let me see what I	can do." "I
Gosh, if only we could	have a little more of
That's a shame.	I was hoping to see
Unsolved mystery.	I have a
Why?	The reason is
Seems like she could get	a lot of mileage out
The thing is, Cameron --	and I'm not the
Cameron.	The first thing
No, no, it's my fault	." "I'm sorry
Forget it.	I'm not going to
You're asking me out.	You're asking me out
Okay.	I'm going to go
Not the hacking and gagging	, but the fact that
Well, I thought we'd start	with the basics.
Can we make this quick?	I have a lot of
I did.	I did
You think you ' re	the only one who's
I don't have to be	a genius to know that
I have to be home	by six." "I
All I know is --	I'm not going to
Sometimes I wonder if the	world is really as bad
Bianca, I don't think the	problem is that you are
Combination.	The combination of
Is he oily or dry?	I have a
He practically proposed when he	was in the middle of
Would you mind getting me	a glass of water?"
Great	er ManchesterGreat
Joey.	I’
Who?	is
Where did he go?	I was just
You might wanna think about	this.I
No.	1: The best player
Did you change your hair?	I did.
You know the deal.	You’ve been
Listen, I want to talk	to you about something."
You're concentrating awfully hard considering	you're not even in
Hi, Joey.	I'm a big fan
Hey, sweet cheeks.	I’m back
My agent says I've got	to get a new agent
Neat.	I'm not
It's a gay cruise line,	and it's a gay
Queen Harry?	Queen Elizabeth II
So yeah, I've got the	new job. I'm
Hopefully.	I'm not
Exactly  So, you going	to be able to get
Expensive?	I'm not
It's more	than a little ironic that
Perm?	A:
Patrick -- is that- a.	Patrick -- is
It's just you.	I'm not going to
Is that woman a complete	idiot?I
No!	No! No
What?	I’
I just wanted --	I just wanted to say
You set me up.	"
Let go!	
So did you	get the job?" "
You looked beautiful last night,	and I'm glad you
I guess I'll never know,	but I'm not going
Not all experiences are good,	and some are downright awful
God, you're just like him!	You're just like him
I guess I thought I	was going to be able
I'm not stupid enough to	think that I'm the
That's not	what I meant." "
No.	1: The best player
I wanted to let you	know that I have been
Why didn't you tell me?	I would have helped you
After that, I swore I'd	never go back to the
But	the most important thing is
Just once.	Just once
You did what?	I did what
He said everyone was doing	it, and he was
As in.	The first thing
Now I do.	I'm not
But you hate Joey	." "I don't
He was, like, a total	jerk." "He was
Why?	The reason is
In 9th.	grade, I was a
What?	I’
Joey never told you we	were going to be here
I wish I had that	kind of money." "
I do care.	I care about the people
Like you care.	You care about
Listen, I know you hate	me." "I know
You're welcome.	I'm not
I don't get you.	You're a good man
I really don't think I	can do this." "
Bianca, I need to talk	to you." "I
Can we go now?	I'm tired."
You are so completely unbalanced.	You are so completely un
Yeah, he's your freak friend	." "He's not
It's Shakespeare.	It's the Bard.
Like I'm supposed to know	what that means?" "
At least I'm not a	liar." "I'm
Can't you forget for just	one day?" "I
Bogey Lowenstein's party is normal,	but it's not normal
What's normal?	I'm a
You're ruining my life'	"I'm
I think you're a freak.	I think you're a
What do you think?	I’
Oh, I thought you might	be interested in this."
It means that Gigglepuss is	a very good girl.
Oh my God, does this	mean I have to go
Can you at least start	with the basics?
I have the potential to	be a great writer.
Nowhere.	The first time
Where've you been?	I've been looking for
I have a date, Daddy.	I'm going to be
I'm missing something.	A:
Fine.	I'll be there."
You're not going unless your	mother says so." "
He's not a "hot rod".	He's a "hot
It's that hot rod Joey,	and he's got a
No, but	I'm not going to
The prom?	
Daddy, I want to discuss	something with you." "
Because she'll scare them away.	"I'm
Why?	The reason is
Promise me you won't talk	to anyone about this."
Just for a minute	, I want to tell
Daddy, no!	"I'm
Wear the belly before you	eat the meat.
It's just a party.	It's not a big
Oh, God.	I'm so sorry."
If Kat's not going, you're	not going." "I
Daddy, people expect me to	be a good girl."
It's just a party.	It's not a big
Otherwise known as an orgy?	The term �
If you must know, we	are a family of four
And where're you going?	I'm going
Daddy, I --	I'm sorry." "
Exactly my point	.------
But she doesn't want to	be a mother. She
But it's not fair --	it's not fair to
Then neither will you.	You're not going to
What if she never starts	?" "She's a
