They do not!	The Earth is
They do to!	They do to
I hope so.	I'm not
She okay?	I'm not
Let's go.	Let's go
Wow	Wow is an
Okay -- you're gonna need	a bigger boat
No	No
I'm kidding.	I'm not
Like my fear of wearing	high heelsI
The "real you".	The "real
What good stuff?	Some good stuff
I figured you'd get to	it eventually."
Thank God!	Thank God!
Me.	I am a
What crap?	I don't
do you listen to this	album?I
No.	No.
Then Guillermo says, "If you	're not happy with your
You always been this selfish?	No, I
But	I don't
Then that's all you had	to sayI
Well, no.	No, I
You never wanted to go	back to the way things
I was?	I was a
I looked for you back	at the house
Tons	of people are looking for
Have fun tonight?	I'm going
I believe we share an	understanding of the importance of
You know Chastity?	Chastity
Looks like things worked out	for the best
Hi.	Hi!
Who knows?	Maybe the person
So that's the kind of	thing that I'm talking
Lesbian?	There is no
She's not a.	She's not
I'm workin' on it.	I'm working
I really, really, really wanna	be a rockstar
Sure have.	Yes, I
Eber's Deep Conditioner every two	weeksEber
How do you get your	dog to stop barking?
You're sweet.	Thank you.
You have my word.	I promise you
I counted on you to	be thereI
You got something on your	faceThere might
Where?	The restaurant is
There.	There.
Well, there's someone I think	you should meet."
How is our little Find	-A- Grave site
Forget French.	I don't
That's because it's such a	great way to get your
I don't want to know	I don't
Right.	I'm going
C'esc ma tete.	This is my
Let me see what I	can find out about the
Gosh, if only we could	all be as lucky as
That's a shame.	It's a
Unsolved mystery.	What is the
Why?	There are many
Seems like she could get	a little more out of
The thing is, Cameron --	and many other conservatives --
Cameron.	Cameron is
No, no, it's my fault	.No,
Forget it.	I don't
You're asking me out.	Yes, I
Okay.	I'm going
Not the hacking and gagging	kindNo,
Well, I thought we'd start	with a little bit of
Can we make this quick?	Yes, we
I did.	I did what
You think you ' re	the only one
I don't have to be	a genius to know that
I have to be home	by sixI
All I know is --	I know that
Sometimes I wonder if the	universe is a computer simulation
Bianca, I don't think the	answer to your question is
Combination.	A combination is
Is he oily or dry?	Dry
He practically proposed when he	said, "I think
Would you mind getting me	a drink?
Great	5 out of
Joey.	Joey is
Who?	Who is the
Where did he go?	He went to
You might wanna think about	thatI might
No.	No.
Did you change your hair?	No, I
You know the deal.	I'm not
Listen, I want to talk	to you about something
You're concentrating awfully hard considering	you're not even trying
Hi, Joey.	Hi, Joey
Hey, sweet cheeks.	Hey, cut
My agent says I've got	a good chance of getting
Neat.	4 out of
It's a gay cruise line,	so you know it's
Queen Harry?	There is no
So yeah, I've got the	flu.I
Hopefully.	Hopefully, hopefully
Exactly  So, you going	to the party tonight?
Expensive?	The cost of
It's more	than just a game
Perm?	Perm is
Patrick -- is that- a.	No, it
It's just you.	It's just
Is that woman a complete	idiot?I
No!	No, you
What?	The term "
I just wanted --	I just wanted
You set me up.	You tricked me
Let go!	I don't
So did you	like the book?
You looked beautiful last night,	I loved the
I guess I'll never know,	will I?
Not all experiences are good,	and some are bad.
God, you're just like him!	I'm not
I guess I thought I	was doing something good
I'm not stupid enough to	think that I can do
That's not	what I meant.
No.	No.
I wanted to let you	know that I received the
Why didn't you tell me?	I didn't
After that, I swore I'd	never do it again.
But	I don't
Just once.	Just once,
You did what?	You deleted your
He said everyone was doing	their best to get the
As in.	I'm going
Now I do.	I am now
But you hate Joey	Yes, I
He was, like, a total	badassHe was
Why?	There are many
In 9th.	grade, I was in
What?	The term "
Joey never told you we	were going to the movies
I wish I had that	I wish I
I do care.	I care about
Like you care.	I care about
Listen, I know you hate	meBut I
You're welcome.	
I don't get you.	I don't
I really don't think I	can do this."
Bianca, I need to talk	to you about something
Can we go now?	Yes, we
You are so completely unbalanced.	You are so
Yeah, he's your freak friend	.""What
It's Shakespeare.	It's Shakespeare
Like I'm supposed to know	What you're
At least I'm not a	virginAt least
Can't you forget for just	one dayAll
Bogey Lowenstein's party is normal,	but the guests are not
What's normal?	There is no
You're ruining my life'	This phrase is
I think you're a freak.	I think you
What do you think?	I think that
Oh, I thought you might	be interested in this."
It means that Gigglepuss is	a very happy cat.
Oh my God, does this	mean I'm pregnant?"
Can you at least start	by telling me what you
I have the potential to	be a great doctor
Nowhere.	There is no
Where've you been?	I've been
I have a date, Daddy.	I'm so
I'm missing something.	What are you
Fine.	I'll see
You're not going unless your	mom says so
He's not a "hot rod".	He's not
It's that hot rod Joey,	He's got
No, but	I think it would be
The prom?	The prom was
Daddy, I want to discuss	something with you
Because she'll scare them away.	She may scare
Why?	There are many
Promise me you won't talk	to himI
Just for a minute	, let's pretend that
Daddy, no!	Don't do
Wear the belly before you	wear the belt
It's just a party.	It's just
Oh, God.	I'm sorry
If Kat's not going, you're	going to have to find
Daddy, people expect me to	be perfectI
It's just a party.	It's just
Otherwise known as an orgy?	A sexual encounter
If you must know, we	are a small, independent
And where're you going?	I'm going
Daddy, I --	No, no
Exactly my point	.I don
But she doesn't want to	She doesn't
But it's not fair --	It's not
Then neither will you.	Neither will you
What if she never starts	to menstruate?
No!	No, you
Now don't get upset.	I'm not
Just sent 'em through.	Sent them through
Padua girls.	There are many
Never	I never would
Fan of a fan.	A fan of
Didn't have you pegged for	a feminist."
Always a pleasure, Brucie.	Hey, Bru
Best case scenario, you're back	to your old job and
You humiliated the woman!	This is not
No, I ' m not.	Yes, you
Buttholus extremus.	The Butth
The hell is that?	That is a
Extremely unfortunate maneuver.	This is an
Hell, I've just been going	through my old emails and
You told me that part	of your job is to
It's her favorite band.	It's her
Assail your ears for one	hourEar plugs
Okay!	I'm going
He's pretty!	Yes, he
Dead at forty-one.	I was forty
Her favorite uncle	Her favorite uncle
It's a lung cancer issue	Lung cancer
Number one.	1. The
Are you kidding?	No, I
Will Bogey get bent?	No, Bo
In that case, we'll need	to create a new file
This is it.	The moment you
Like we had a choice?	We don't
You got him involved?	I got him
Hey -- I've gotta have	this!Sorry
I thought you hated those	things.""
You know, if you do	not have a good credit
That's what I just said	.That's
Did she actually say she'd	rather have a baby than
Forget his reputation.	Forget his
I'm serious, man, he's whacked.	I'm serious
They always let felons sit	in the front
No kidding.	I was just
He seems like he thrives	on chaosHe
What makes you think he'll	be a good fit for
You wanna go out with	me?""
What about him?	He is a
Unlikely, but even so, she	's not a bad person
I teach her French, get	her a job, and
The mewling, rampalian wretch herself.	The mew
That's her?	That's her
Yeah, just a minor encounter	.Minor encounter
You could consecrate with her,	but it would be more
